offense_id,occur_date,occur_day,occur_time,beat,zone,ibr_code,uc2_literal,neighborhood,npu,lat,long
210501136,2020-12-14,Monday,12:00:00,609,6,23H,Larceny Non Vehicle,Edgewood,O,33.761352,-84.339687
210501287,2021-02-19,Friday,16:38:00,401,4,240,Auto Theft,West End,T,33.740871,-84.413515
210501335,2021-02-19,Friday,08:30:00,111,1,220,Burglary,NA,I,33.754801,-84.484548
210501356,2021-02-19,Friday,16:20:00,406,4,120,Robbery,Cascade Heights,I,33.721994,-84.4654
210501397,2021-02-19,Friday,17:37:00,605,6,23F,Larceny From Vehicle,Grant Park,W,33.733312,-84.379524
210501408,2021-02-17,Wednesday,21:25:00,306,3,23F,Larceny From Vehicle,Sylvan Hills,X,33.698541,-84.417912
210501454,2021-02-17,Wednesday,13:00:00,110,1,23H,Larceny Non Vehicle,Grove Park,J,33.78436,-84.453919
210501476,2021-02-19,Friday,17:50:00,107,1,23H,Larceny Non Vehicle,Grove Park,J,33.763853,-84.433187
210501493,2021-02-18,Thursday,19:00:00,512,5,23D,Larceny Non Vehicle,Downtown,M,33.7515,-84.396305
210501529,2021-02-19,Friday,00:00:00,301,3,120,Robbery,Capitol View,X,33.721021,-84.414702
210501540,2021-02-19,Friday,18:15:00,511,5,13A,Agg Assault,Downtown,M,33.753219,-84.391926
210501586,2021-02-19,Friday,00:00:00,408,4,23F,Larceny From Vehicle,Venetian Hills,S,33.721788,-84.447193
210501599,2021-02-19,Friday,17:45:00,208,2,23H,Larceny Non Vehicle,North Buckhead,B,33.849219,-84.370767
210501645,2021-02-19,Friday,17:45:00,504,5,23F,Larceny From Vehicle,Marietta Street Artery,E,33.777983,-84.408411
210501650,2021-02-19,Friday,17:00:00,310,3,23H,Larceny Non Vehicle,Browns Mill Park,Z,33.681137,-84.390455
210501678,2021-02-19,Friday,19:20:00,301,3,13A,Agg Assault,Adair Park,V,33.722516,-84.409554
210501696,2021-02-19,Friday,18:31:00,210,2,220,Burglary,Pine Hills,B,33.850939,-84.34888
210501737,2021-02-19,Friday,17:00:00,602,6,23F,Larceny From Vehicle,Inman Park,N,33.756445,-84.364769
210501775,2021-02-19,Friday,11:30:00,207,2,23F,Larceny From Vehicle,Loring Heights,E,33.795766,-84.407318
210501813,2021-02-19,Friday,18:00:00,509,5,23F,Larceny From Vehicle,Downtown,M,33.768956,-84.384908
210501821,2021-02-19,Friday,18:38:00,602,6,23F,Larceny From Vehicle,Inman Park,N,33.762651,-84.358272
210501877,2021-02-19,Friday,18:30:00,304,3,240,Auto Theft,Summerhill,V,33.737865,-84.390205
210501916,2021-02-19,Friday,09:30:00,309,3,23F,Larceny From Vehicle,Perkerson,X,33.682743,-84.409012
210501922,2021-02-19,Friday,19:00:00,602,6,23F,Larceny From Vehicle,Inman Park,N,33.76322,-84.351568
210501952,2021-02-19,Friday,21:12:00,407,4,240,Auto Theft,Mays,H,33.74386,-84.504536
210501967,2021-02-19,Friday,20:30:00,612,6,23F,Larceny From Vehicle,East Atlanta,W,33.741324,-84.346227
210501989,2021-02-19,Friday,20:15:00,205,2,23F,Larceny From Vehicle,Castlewood,C,33.839259,-84.409367
210502001,2021-02-19,Friday,20:00:00,501,5,23F,Larceny From Vehicle,Home Park,E,33.784096,-84.411259
210502042,2021-02-19,Friday,21:56:00,206,2,120,Robbery,Peachtree Heights West,B,33.834322,-84.383719
210502046,2021-02-19,Friday,22:20:00,308,3,13A,Agg Assault,Thomasville Heights,Z,33.70765,-84.362288
210502134,2021-02-19,Friday,21:00:00,503,5,23F,Larceny From Vehicle,Midtown,E,33.785869,-84.384886
210502266,2021-02-19,Friday,20:40:00,507,5,23F,Larceny From Vehicle,Downtown,M,33.762915,-84.397081
210502267,2021-02-19,Friday,23:57:00,507,5,240,Auto Theft,Castleberry Hill,M,33.743483,-84.403406
210510134,2021-02-20,Saturday,00:00:00,502,5,23F,Larceny From Vehicle,Home Park,E,33.785906,-84.400483
210510194,2021-02-20,Saturday,01:30:00,212,2,240,Auto Theft,Piedmont Heights,F,33.809,-84.366235
210510251,2021-02-20,Saturday,02:05:00,501,5,23F,Larceny From Vehicle,Home Park,E,33.781597,-84.404883
210510265,2021-02-20,Saturday,02:15:00,210,2,240,Auto Theft,Ridgedale Park,B,33.853752,-84.35776
210510315,2021-02-20,Saturday,02:59:00,206,2,13A,Agg Assault,Buckhead Village,B,33.840961,-84.374901
210510319,2021-02-20,Saturday,01:00:00,509,5,23F,Larceny From Vehicle,Downtown,M,33.762422,-84.383079
210510344,2021-02-20,Saturday,02:48:00,508,5,13A,Agg Assault,Downtown,M,33.763263,-84.396897
210510369,2021-02-20,Saturday,03:45:00,211,2,23F,Larceny From Vehicle,Lindbergh/Morosgo,B,33.824946,-84.366886
210510374,2021-02-20,Saturday,01:30:00,613,6,13A,Agg Assault,Morningside/Lenox Park,F,33.807531,-84.365217
210510416,2021-02-20,Saturday,04:30:00,501,5,23H,Larceny Non Vehicle,Home Park,E,33.784249,-84.407247
210510418,2021-02-20,Saturday,04:41:00,303,3,23H,Larceny Non Vehicle,Mechanicsville,V,33.737601,-84.403991
